Unnamed: 0,cost,trade_size,volatility
1,-0.002001629,2.77e-05,0.224487849
2,0.000281674,0.000654914,0.550202833
3,3.19e-05,0.00375396,0.008383869
4,0.003431486,0.008801562,0.261363667
5,7.09e-05,9.35e-06,0.14425512
6,0.001303257,9.17e-06,0.515849347
7,-0.000982462,0.000135594,0.218863419
8,0.003016489,6.76e-05,0.392736597
9,0.000366756,0.000172706,0.147871185
10,1.15e-05,2.13e-06,0.018982514
11,-0.00019581,6.46e-05,0.01852072
12,-0.00015759,2.48e-06,0.004598329
13,-0.000701359,0.004717753,0.315056679
14,0.001093044,0.000709387,0.223830271
15,-0.000721345,3.77e-06,0.291277465
16,-0.000888401,0.000189119,0.046689647
17,0.000756373,0.000245669,0.420247807
18,3.7e-05,6.51e-05,0.003556039
19,0.00294932,0.005949365,0.191614786
20,0.004363726,0.001391903,0.450693451
21,0.000364952,0.000693631,0.413644855
22,-0.006878909,0.000280781,0.346283279
23,4.26e-05,5.21e-06,0.336627856
24,0.001000733,2.38e-05,0.138850291
25,0.000360551,0.000123624,0.168781693
26,0.001096632,0.002276981,0.164961965
27,0.000302761,0.00063548,0.19890299
28,-0.02799087,0.00022245,0.213494039
29,0.02931787,0.000287618,0.331511584
30,-8.65e-05,0.002687749,0.229025966
31,-0.000639949,0.001765616,0.102100847
32,0.000230704,0.00059442,0.261605441
33,0.009085908,0.004104084,0.227911562
34,0.00027057,0.000122586,0.304446821
35,-0.001029547,0.006273879,0.237052577
36,-0.000156305,0.001132774,0.227674283
37,0.00676844,2.1e-05,0.213709406
38,0.000227556,0.000105367,0.112724004
39,0.000328116,1.79e-06,0.170019458
40,-0.007366348,0.00031236,0.291147368
41,-0.000875137,0.003574125,0.267564237
42,-0.000172492,1.39e-05,0.240679373
43,-0.002287611,0.000217115,0.334269671
44,0.002543161,0.00043935,0.155727726
45,0.000595999,0.003540981,0.165935722
46,6.19e-05,0.007293167,0.009606778
47,0.009621595,3.3e-05,0.375840688
48,0.000582797,0.000722371,0.308908915
